a	把
abb	掇
abbb	掇
abbb	𢬏
abbb	𭠱
abbc	𢬟
abbc	𢮢
abbd	聚居
abbd	𢷻
abbd	𭃍
abbe	切線
abbf	搡
abbf	取經
abbh	扭結
abbh	聚結
abbk	颞
abbk	招納
abbm	𢶣
abbm	𪚀
abbo	取締
abbo	撥絃
abbs	招展
abbs	抽絲剝繭
abbs	䏈
abbs	𦁫
abbt	撥通
abbu	聂
abbu	㧐
abbu	𢪩
abbw	𭢄
abby	切忌
abby	撥給
abc	扭
abcc	𭒒
abce	招降
abcf	郰
abco	歌剧院
abct	切除
abct	摒除
abcv	娶
abd	切
abd	㧅
abdc	择要
abdd	取碼
abdg	据
abdi	切
abdi	切
abdj	招幹
abdk	掼
abdk	取走
abdk	攭
abdk	𧑝
abdl	招來
abdm	摜
abdm	㩪
abdn	𢰰
abdn	𪭲
abdo	切碎
abds	掾
abds	𬥁
abdt	提綱挈領
abdt	聚殲
abdu	切磋
abdv	捅破
abdw	聚歼
abdw	择期
abdx	娶妻
abdx	取码
abdy	𪮪
abe	聚
abec	鄹
abec	𨞮
abed	择优
abeg	取代
abeh	𡒍
abeh	𢭮
abei	摊位
abek	择偶
abek	𢫺
abek	𣀒
abek	𤔛
abel	取保
abem	㔌
abem	𦘂
abeo	握住
abep	切近
abeq	扭傷
abeq	扭伤
aber	取貨
aber	取货
abes	聚
abes	招供
abes	据传
abes	𢴋
abet	捨己爲人
abeu	取信
abev	取樂
abf	揆
abf	𪮕
abfa	取材
abfc	𢸞
abfc	𨝮
abfd	招標
abfg	揆
abfg	聧
abfh	招标
abfi	择一
abfj	据查
abfk	䎼
abfk	𢮑
abfl	聚頭
abfl	𦖰
abfm	拔刀相助
abfm	𠟕
abfm	𢷚
abfo	招工
abfp	招来
abfs	取巧
abfs	切开
abfs	扭亏
abft	捨己救人
abfu	取樣
abfu	取样
abfu	撜
abfv	棸
abfv	𰓨
abgf	招式
abgg	扭轉
abgi	切面
abgk	据理
abgm	擠眉弄眼
abgm	挤眉弄眼
abgo	𤦟
abgr	聚酯
abgs	撥弄
abh	握
abhb	切块
abhe	招致
abhg	招干
abhh	撥款
abhh	取款
abhk	握
abho	𪠱
abhs	招考
abhs	扭转
abhs	𢲉
abhu	摊平
abhv	埾
abhv	𢫞
abhw	切塊
abhx	𫝼
abi	𢩽
abib	取決
abie	摊派
abif	娶親
abif	招親
abif	娶亲
abif	招亲
abih	取法
abij	切音
abim	取消
abiv	恶贯满盈
abiv	𢳲
abj	𢩵
abja	择时
abje	取暖
abjf	切題
abjf	切题
abjo	取景
abjs	𰎊
abjv	择日
abka	聚财
abke	摊贩
abkf	切開
abkh	𣷗
abkk	𢺡
abkk	𮕉
abkm	招贴
abko	𢳏
abkp	𢹌
abks	扭曲
abkt	㨥
abkv	掻
abkv	𢳰
abkw	摨
abkx	𢶵
abl	招
ablc	𨛿
ablc	𱡃
abld	招數
ablf	指桑駡槐
ablf	指桑骂槐
ablf	𢹐
ablh	𢸵
ablm	接線員
ablm	𭾃
abln	切中
ablo	擗
ablq	招呼
ablq	揚眉吐氣
ablq	扬眉吐气
ablr	指鸡骂狗
abls	撥號
ablv	招
ablv	切口
ablv	𬚖
ablw	握別
ablx	握别
ablx	撥叫
ably	𢜌
abm	拇
abma	聚財
abmc	切齒
abmc	𪘸
abme	聚眾
abmf	指桑罵槐
abmh	聚光
abmj	切膚
abmj	𱡂
abml	据点
abml	摊点
abml	切点
abmm	招貼
abmm	𢯍
abmn	𢭚
abmo	𢯜
abmr	聚餐
abmt	切盼
abmu	𢰲
abmw	切削
abmw	扭虧
abmw	㨝
abnb	握紧
abnb	招贤
abnb	𱟰
abnl	取回
abnm	切點
abno	取鬧
abnr	据此
abnt	切齿
abnu	择业
abo	搔
aboa	据守
aboa	𤭿
abob	切實
abob	切记
aboc	招安
abod	切割
abod	扠
abod	扨
abod	択
abod	𦔹
aboe	𢮞
abof	取证
abok	搔
abok	𢸪
abol	振臂高呼
abon	𰍎
aboo	𤧬
abor	袃
abor	𧚿
abos	切实
abos	据实
abot	捨己為人
abot	招认
abou	招商
abou	聚齊
abou	据说
abov	摒棄
abov	摒弃
abov	取词
abox	招辦
abox	搱
aboy	𢭝
aboy	𦖆
abpb	聚变
abpb	切变
abpc	招数
abpc	𤮒
abpc	𪮴
abpk	抽刀断水
abpo	取闹
abpo	𨓭
abpt	聚齐
abpu	搔癢
abpu	聚糖
abpu	搔痒
abpx	切断
abpx	扭断
abqe	取笑
abqg	扭動
abqg	撥動
abqh	𢯸
abqi	𢲕
abqm	聚衆
abqp	据悉
abqr	握笔
abqx	握筆
abqy	摇尾乞憐
abqy	搖尾乞憐
abqy	摇尾乞怜
abrb	𢲈
abrd	招徠
abre	聚斂
abre	𱡋
abrf	招徕
abrh	招待
abrh	聚積
abrh	𢲇
abrh	𭎵
abri	抳
abri	𮋯
abrj	取得
abrl	取名
abrl	聚积
abrm	招租
abrm	捤
abrn	取向
abru	切入
abry	据称
abs	搌
abs	𢬡
absb	握緊
absb	招賢
absb	取决
absb	𢱈
absb	𦖲
abse	切菜
abse	择菜
absg	搌
absg	聚头
absg	𦗘
absi	聚落
absj	招募
absj	切莫
absj	掘墓
absk	拾級而上
absk	𪯁
absq	㩔
absr	𦕱
abss	招惹
abst	掘进
absv	扭动
absw	聚散
absy	𱻾
abt	抉
abtb	切分
abtc	𮠇
abte	抉
abte	招人
abtf	聚會
abtf	取钱
abth	取舍
abth	𫮣
abtk	取自
abtm	取乐
abtm	摊销
abtn	捅
abtn	𭺢
abto	招領
abto	招领
abtp	切片
abtp	𢳟
abts	聚会
abts	聚敛
abtt	聚众
abtu	握手
abtu	招手
abtu	𢮝
abtu	𢰱
abtw	招牌
abtw	摊牌
abtx	𢰭
abu	摒
abu	𭠎
abu	𰀈
abua	𧩞
abub	切記
abub	取證
abub	聚變
abub	招認
abub	切變
abug	扭送
abug	握拳
abug	𭡱
abuh	焣
abuj	𭣃
abur	取
abus	摒
abus	摒
abut	取道
abut	聚首
abuu	𢺟
abuv	取詞
abuv	㷅
abv	撥
abvb	取经
abvf	切线
abvh	扭结
abvh	聚结
abvk	抽刀斷水
abvk	摊子
abvk	招纳
abvl	挶
abvn	招引
abvo	取缔
abvo	𢲩
abvq	撥
abvt	推己及人
abvt	𢹨
abvv	切斷
abvv	扭斷
abvv	𢵔
abw	摊
abwd	扭腰
abwe	切身
abwe	扭身
abwe	切脈
abwf	聚集
abwg	招生
abwg	取錢
abwg	切肤
abwi	摊
abwj	𨥓
abwn	𤚉
abwo	切脉
abwo	𢰹
abwp	掘進
abwq	切腹
abwq	招股
abwt	切勿
abwu	取勝
abwu	聚焦
abww	取胜
abx	掘
abxe	招收
abxl	招架
abxt	招办
abxx	掘
abxx	取出
abxx	撥出
abyc	撧
abye	聚合
abye	切合
abye	𢵰
abyn	𢗧
abyn	𢭄
abyq	撥冗
abyt	取悅
abyu	取悦
abyv	排难解纷
abyv	𬻒
abyv	𰁓
ac	寸
aca	抿
acab	把握
acac	揉揉
acac	𭠯
acah	把持
acai	抿
acai	𦕛
acaj	㨉
acau	揉搓
acb	把
acbg	把戏
acbu	招降納叛
acbu	𢫓
acbv	抒發
acbv	𢮫
acbx	𢭵
acc	撰
accb	排除异己
accp	𢸷
acct	撰
accv	𰌅
acdd	𱡓
acdg	𢯐
acdm	𱠽
acdo	揉碎
acdo	严防死守
acdq	势如破竹
acdq	鿣
acdv	揉成
acei	𱤷
acer	𢶽
acf	耶
acf	寸
acf	𨙰
acfb	排除万难
acfc	𨙯
acff	把柄
acff	⼨
acfg	把盏
acfh	𢭫
acfj	𢴟
acfl	寸頭
acfl	鿤
acfn	邒
acfo	撰述
acfo	抢险救灾
acfr	耶
acfv	揉
acfv	搶險救災
acfw	邷
acgf	把玩
acgf	把式
acgg	把盞
aci	𢯷
acie	事務所
acig	把酒
acir	𦗇
acjb	排除異己
ackl	𢵮
ackn	把門
ackv	把關
ackw	𪼶
acln	抿嘴
aclv	𫼰
acmf	把戲
acmh	𫽶
acmi	𫽖
acmq	𢭼
acoa	把守
acod	探險家
acod	探险家
acoq	耶诞
acor	撰寫
acor	抒寫
acpn	把门
acpw	撰文
acpx	寸断
acqr	耶稣
acqr	把儿
acqs	𢱐
acqw	把风
acrf	把風
acro	撰稿
acro	𫛉
acrq	把兒
acrx	耶律
acsg	寸头
acss	排除萬難
acsw	撱
actf	𢲢
actr	耶穌
actu	把手
acu	抒
acud	𢵌
acug	把关
acuq	耶誕
acvu	招降纳叛
acvv	寸斷
acwe	把脈
acwo	把脉
acww	𱠯
acxe	抒发
acxi	推陳出新
acxi	推陈出新
acxr	严阵以待
acy	扡
acy	𰒹
acye	揉合
acye	鿢
acyh	抒情
acyn	𬺼
acyn	𭝤
acyr	𮋭
acys	撰写
acys	抒写
ad	頂
adaa	势不可挡
adac	𢭏
adai	頂撞
adai	顶撞
adak	撕下
adak	頂下
adak	拋下
adak	顶下
adal	頂事
adal	顶事
adam	拋掉
adam	拓扑
adam	势不可当
adan	撕扯
adan	拓撲
adaq	拋投
adat	打砸搶
adat	打砸抢
adau	拋擲
adau	东南亚
adaw	探囊取物
adax	技击
adb	技
adbb	𢴲
adbb	𫽂
adbb	𱠗
adbd	拉斯維加斯
adbe	𪮣
adbg	揳
adbj	𪨵
adbj	𭡳
adbl	𢵒
adbq	插翅难逃
adbr	拍馬屁
adbs	拓展
adbs	顶层
adbs	𢰟
adbt	𢲞
adbu	技
adbu	頂層
adbv	頂級
adbv	插翅难飞
adca	擾民
adca	扰民
adcf	挷
adcv	搞不好
adcv	頂好
adcv	顶好
adcv	𢰳
add	𢪰
addb	頂起
addb	顶起
addd	㩡
addf	下馬威
addf	𢵍
addg	頂戴
addg	顶戴
addh	撕票
addm	撕裂
addo	撕碎
addu	东西南北
addv	撕破
addv	頂破
addv	顶破
addx	拋妻
addx	㨹
addy	㩨
ade	撕
adeb	擾亂
adee	下不爲例
adee	𢷛
adeh	𢰴
adej	撕
adem	𭢣
adeo	頂住
adeo	顶住
adf	撼
adfa	𱠲
adfc	揻
adfe	頂板
adfe	顶板
adfg	頂天
adfg	顶天
adfi	势不两立
adfi	抷
adfi	𢬮
adfl	頂頭
adfl	頂樓
adfl	㨔
adfm	𢹩
adfn	抱成一團
adfn	抱成一团
adfn	𢱉
adfo	技工
adfo	技校
adfo	技术
adfp	揮霍一空
adfp	顶楼
adfp	挥霍一空
adfs	摴
adfs	技巧
adfs	擀麪杖
adfs	擀麵杖
adfs	撕开
adft	打成一片
adft	揭不开锅
adfu	搣
adfv	搮
adfw	頂棚
adfw	搜索枯腸
adfw	顶棚
adfw	搜索枯肠
adfy	撼
adg	𢫈
adgc	𢳍
adgc	𢳒
adgf	拋球
adgf	㩥
adgg	頂替
adgg	顶替
adgg	𢶋
adgg	𢶪
adgl	𦖱
adgl	𰔈
adgp	𫾔
adgr	𭢚
adgu	頂班
adgu	顶班
adgw	頂珠
adgw	顶珠
adgw	擮
adgw	𢺞
adgx	技擊
adgx	哥斯大黎加
adgx	哥斯达黎加
adgx	𢵼
adh	摽
adha	𢷋
adhl	擂臺
adhl	擂鼓
adhm	拋到
adhm	𢶏
adhs	摽
adhs	䏇
adhs	𪮗
adhv	过不去
adhw	瓧
adhw	𤬧
adhx	哥斯達黎加
adi	拪
adic	投其所好
adie	𢺓
adif	拋灑
adih	技法
adii	折戟沉沙
adij	頂端
adij	顶端
adil	頂部
adil	顶部
adir	𦕩
adiu	打破沙鍋問到底
adiu	打破沙锅问到底
adj	擂
adje	頂峰
adje	頂峯
adje	顶峰
adje	𱠖
adjf	𢸹
adjg	撠
adjh	擀
adjj	𢸲
adjk	頂崗
adjk	顶岗
adjo	撢
adjo	𦗡
adjo	𬻰
adjq	𢶁
adjt	擂
adjv	瓸
adjv	㨴
adjv	𢫦
adjw	𢴿
adjw	𢵕
adk	顶
adk	𪭴
adkb	顶
adkb	事不關己
adkd	揇
adkf	撕開
adkf	拋開
adkh	揼
adkm	摵
adkn	投石問路
adkn	頂門
adks	頂上
adks	顶上
adks	擜
adkw	揭不開鍋
adky	𢷾
adl	攮
adl	𢯦
adlf	𢸨
adll	𢹝
adln	頂嘴
adln	顶嘴
adlo	撕咬
adlr	攮
adlr	𫆓
adlr	𮋳
adls	𢰯
adlt	𢺰
adlv	㧵
adlv	𰓌
adm	搷
adm	𢲫
admb	頂
admb	𦖦
admb	𭢤
admc	𨟡
admd	挒
adme	誓不罷休
adme	誓不罢休
adme	𢹎
adme	𢺕
adme	𭡲
admg	頂尖
admg	顶尖
admg	𢧖
admg	𢧻
admh	拋光
admi	㨁
admj	撥雲見日
admk	𭣇
adml	頂罪
adml	顶点
adml	顶罪
adml	𬱎
admm	攧
admn	𫽗
admt	搷
admt	𢺗
admt	𦗀
admu	𰔔
admx	𢴓
admy	聴
admy	𦗟
admy	𭢙
adn	𢪋
adnm	頂點
adns	𢸋
ado	扰
adod	㧻
adoe	下不為例
adoe	下不为例
adog	擂主
ador	𰭴
ados	拓寬
ados	拓宽
adov	拋棄
adov	𫾊
adow	抱殘守缺
adow	抱残守缺
adpn	投石问路
adpn	顶门
adpo	𢴊
adpu	技癢
adpu	技痒
adq	拢
adq	掑
adqg	擾動
adqg	撼動
adqp	拢
adqp	𰭹
adqp	𱍔
adqr	𢭪
adqs	𢱼
adqw	顶风
adre	𢺁
adrf	技術
adrf	撕毁
adrf	頂風
adrg	探驪得珠
adrh	撕毀
adrj	捨不得
adrr	頂多
adrr	顶多
adrx	扰乱
adry	𢲀
adry	𢷭
ads	擩
adsb	插翅難飛
adsd	𢱭
adsd	𢳎
adsd	𢳭
adsf	𢱴
adsg	顶头
adsh	技藝
adsh	頂蓋
adsh	頂芽
adsh	顶芽
adsm	𢴢
adsn	𢸍
adso	𢶚
adsq	插翅難逃
adsr	擩
adsu	拓荒
adsu	拋荒
adsu	𦗩
adsv	扰动
adsv	技艺
adsv	撼动
adsv	𢵆
adtb	㩕
adtb	𢬗
adtd	指南针
adtd	顶针
adte	𫝾
adtf	拓印
adti	𥪻
adtn	頂用
adtn	顶用
adts	七零八落
adts	拍卖会
adtt	拋卻
adu	抔
adua	顶灯
adub	頂燈
adub	事不关己
aduf	技师
aduh	顶盖
aduk	頂禮
aduk	撕爛
aduu	撕烂
aduv	𢱾
adux	顶礼
adv	拓
adv	拓
advd	拉斯维加斯
adve	拉帮结伙
advg	抛磚引玉
advg	拋磚引玉
advg	抛砖引玉
advh	下不了臺
advl	擂台
advp	𰔓
advv	下不了台
advv	顶级
advw	技能
advx	𪮸
advy	𢱽
adw	擾
adw	㧔
adwc	頂包
adwc	顶包
adwc	𢶉
adwd	指南針
adwd	頂針
adwe	擾
adwi	攉
adwl	拋售
adwo	𱟶
adwp	拋進
adws	拋錨
adwt	𢲬
adwv	𢰮
adwv	𭢘
adwx	𢹤
adx	拋
adxa	振聋发聩
adxc	捿
adxi	揕
adxl	拋
adxv	𢳬
adxx	拋出
ady	挬
ady	𢮳
adyb	𢱢
adyf	技師
adym	𪮭
adyn	𢷐
adyn	𢷟
adys	排憂解難
adyt	頂角
adyt	顶角
adyv	挬
ae	挺
aea	捋
aeaa	拍攝
aeaa	拍打
aeaa	捶打
aeaa	拍摄
aeab	採取
aeab	採掘
aeab	抓取
aeab	𢴛
aeac	拊
aeac	捋
aeac	摇把
aead	摇撼
aeae	抓拍
aeae	摇摇
aeaf	抓捕
aeah	採擷
aeal	折扣
aeal	𢬲
aeam	摇擺
aeam	拆掉
aeam	摇摆
aeam	𢸗
aeao	採摘
aeaq	拍拖
aeas	挺拔
aeau	损兵折将
aeav	𢭎
aeaw	𱰌
aeax	掙扎
aeax	損兵折將
aeax	拍击
aeay	亚伯拉罕
aeb	拍
aebb	折叠
aebd	恶作剧
aebe	拆線
aebi	採編
aebk	採納
aebq	𢰡
aebr	哥白尼
aebr	摇尾
aebs	據爲己有
aebs	䋢
aebu	扳
aebu	瓪
aebw	鋬
aeby	授給
aec	挼
aecb	排斥异己
aecb	𢫷
aecb	𢮤
aecb	𢯳
aeck	𱠁
aect	拆除
aecu	授予
aecv	抓好
aecv	挼
aecv	娎
aecy	𢫌
aed	硩
aeda	折寿
aedb	掀起
aedb	抓起
aedb	挺起
aedd	东倒西歪
aedg	拆遷
aedg	拍磚
aedh	𪭡
aedi	授受不親
aedi	授受不亲
aedm	挺直
aedm	揗
aedn	捀
aedp	摓
aedp	𢶿
aedq	按兵不動
aedr	誓死
aedr	𣩂
aeds	按兵不动
aeds	拍砖
aeds	𪮓
aedt	拆零
aedu	採礦
aedu	誓不
aedv	採石
aedv	拆成
aedv	拍卖
aedv	硩
aedy	报仇雪恨
aee	掀
aee	𢪭
aeeb	𫼻
aeeb	𰤙
aeed	折價
aeee	拰
aeef	撥亂反正
aeef	援兵
aeef	𢶱
aeeg	採伐
aeeh	𭡓
aeei	掀
aeem	㩫
aeeo	抓住
aeeo	取保候審
aeeo	挺住
aeeo	取保候审
aeer	𦔽
aees	拆借
aeet	折价
aeet	𫝽
aeeu	拆伙
aeey	授受
aef	採
aefb	授权
aefc	取信于民
aefc	𢬯
aefc	𢮼
aefe	拍板
aefg	摇椅
aefg	𢯉
aefh	捨近求遠
aefh	折桂
aefh	摇杆
aefi	才华横溢
aefj	摇桿
aefj	捳
aefk	援救
aefl	摇頭
aefl	攝像頭
aefl	㧨
aefm	拍档
aefm	𢶦
aefm	𰓳
aefn	拍檔
aefo	拞
aefo	𢭊
aefo	𪮆
aefq	摄像机
aefq	摇橹
aefq	𢯫
aefs	授權
aefs	拆开
aefs	掀开
aeft	摇櫓
aeft	捠
aefu	事倍功半
aefu	採樣
aefv	採
aefv	攝像機
aefv	梊
aefv	𢫩
aefv	𪮅
aefv	𫆇
aefw	𪮈
aefy	𢷍
aeg	揘
aegc	摇車
aegd	𡘭
aegg	𢬩
aegj	摇醒
aegk	哲理
aegl	採區
aegm	𢹻
aegv	揘
aegx	拍擊
aegy	𢫙
aeh	援
aeh	𢪛
aehb	援
aehb	𦖵
aehc	摇车
aehh	拆封
aehh	𢫟
aehi	逝世
aehl	拆臺
aehm	拍賣
aehm	抓到
aehm	掙到
aehm	採到
aehr	𫾬
aehs	𢰂
aehu	扳平
aehv	逝去
aehv	折壽
aehv	埑
aehx	揺
aei	扻
aeia	摸爬滚打
aeia	摸爬滾打
aeie	事务所
aeif	抓举
aeif	挺举
aeii	挺立
aeii	𭠿
aeij	授意
aeij	摇盪
aeik	採油
aeil	𢵾
aeio	摇滚
aeir	𫆁
aeiu	𤄌
aeiw	拆洗
aeiy	哲学
aej	折
aeja	授时
aejb	拍照
aejb	排斥異己
aeje	採暖
aejf	拆夥
aejf	𢭱
aejh	授時
aejm	摇晃
aejr	𦕄
aejs	拍岸
aejt	𫽠
aejv	晢
aejy	哲思
aek	抓
aeke	𦕽
aekf	拆開
aekf	掀開
aekf	掙開
aekg	抓贼
aekh	抓赌
aekh	𤭯
aekh	𪵿
aekh	𰔎
aekk	𰔻
aekm	𰔁
aekp	𢼺
aekq	摇曳
aekt	拆閱
aeku	拆閲
aekv	蜇
ael	哲
aelf	㨐
aelk	授勋
aell	撟
aelr	指雞駡狗
aelv	哲
aelv	挌
aelv	㧷
aelv	𭇏
aem	搋
aema	㩊
aema	㩱
aemb	聖保羅
aemb	𫎘
aemc	𪘔
aemd	招兵買馬
aeme	擨
aemg	抓賊
aemg	𰔗
aemh	搋
aemh	採光
aemh	折光
aemh	抓賭
aemj	揝
aeml	𭡗
aeml	𰔍
aemm	𢲽
aemo	抓瞎
aemo	𢪗
aemr	指雞罵狗
aems	採購
aemu	䀸
aemv	𢂼
aemx	援助
aen	踅
aenb	抓紧
aenf	𭢌
aeng	𢷏
aeni	𢭌
aenj	折旧
aenl	折回
aenl	扳回
aenu	授業
aenu	授业
aenu	𢭣
aenv	踅
aenw	𭢎
aeo	拆
aeo	扷
aeoc	取信於民
aeoc	拍案
aeod	拆
aeoe	撽
aeof	拍完
aeoj	授课
aeol	折衷
aeoq	授旗
aeor	採寫
aeor	裚
aeov	拆字
aeov	誓词
aeox	採辦
aeoy	採蜜
aep	逝
aepd	折磨
aeph	拆穿
aeph	授精
aeph	採精
aepo	逝
aepo	𭡕
aept	授粉
aepu	拆阅
aepv	抓痕
aepv	折弯
aepx	折断
aeqb	操作系統
aeqf	拆卸
aeqg	摇動
aeqg	掀動
aeqj	拠
aeqm	折算
aeqm	採血
aeqm	𢭢
aeqn	摇篮
aeqn	𢰑
aeqn	𢳸
aeqp	掀翻
aeqs	摇籃
aeqv	操作系统
aer	搯
aera	哥伦比亚
aerd	授徒
aerd	𫼧
aerf	𢷽
aerf	哥倫比亞
aerf	拆毁
aerg	抓狂
aerh	拆毀
aeri	𢪎
aerj	抓得
aerj	搯
aerj	𦗌
aerl	𢸟
aerm	援外
aero	𪁊
aerq	摡
aerq	採種
aerr	𫽎
aers	抓獲
aers	抓舉
aers	挺舉
aers	誓與
aert	授衔
aerw	哲學
aerw	授銜
aerx	揤
aerx	揤
aery	挀
