一	〔一・Fiƒ〕
供	〔亻龷八・ESTb〕
依	〔亻亠𧘇・EORy〕
侠	〔亻夫丷・EGUh〕
侣	〔亻口口・ELLv〕
侥	〔亻七丿兀・EAQH〕
侦	〔亻卜贝・EMKb〕
侧	〔亻贝刂・EKMd〕
侨	〔亻夭{介下同八}・EETb〕
侩	〔亻人二厶・ETSV〕
侪	〔亻文{介下同八}・EPTb〕
侬	〔亻冖𧘇・EYRy〕
侮	〔亻{丿一同竹}母・EQBm〕
侯	〔亻{コ同又}矢・EBQi〕
侵	〔亻彐冖又・EXYB〕
便	〔亻一日乂・EFJW〕
促	〔亻足・ENv〕
俄	〔亻丿扌戈・EQAG〕
俅	〔亻一水丶・EFKO〕
俊	〔亻厶八夂・EVTE〕
俎	〔人人且・TTMi〕
俏	〔亻小月・EMWv〕
俐	〔亻禾刂・ERMd〕
俑	〔亻{マ同又}用・EBTn〕
俗	〔亻八人口・ETTL〕
俘	〔亻爪子・EEVk〕
俚	〔亻甲二・EKSe〕
俜	〔亻由丂・EKSk〕
保	〔亻口木・ELFv〕
俞	〔人一月刂・TFWM〕
俟	〔亻厶矢・EVQi〕
信	〔亻言・EUa〕
俣	〔亻口一大・ELFG〕
俦	〔亻丰寸・EDAc〕
俨	〔亻丌䒑丿・EAUQ〕
俩	〔亻一冂人・EFKT〕
俪	〔亻一{冂丶同冂}{冂丶同冂}・EFKK〕
俭	〔亻人二{三點同氵}・ETSI〕
修	〔亻丨夂彡・ENET〕
俯	〔亻广亻寸・EUEA〕
俱	〔亻且八・EMTb〕
俳	〔亻非・ELi〕
俸	〔亻𡗗キ・EGAv〕
俺	〔亻大电・EGKd〕
俾	〔亻{卑上同鬼}十・EWDh〕
倌	〔亻宀尸{コ同又}・EOBB〕
倍	〔亻立口・EILv〕
倏	〔亻丨夂犬・ENES〕
倒	〔亻至刂・EHMd〕
倔	〔亻尸{屮同凵}凵・EBXX〕
倘	〔亻尚・ENs〕
候	〔亻丨{コ同又}矢・ENBQ〕
倚	〔亻大丁口・EGAL〕
倜	〔亻{⺆同月}土口・EWHL〕
借	〔亻龷日・ESJv〕
倡	〔亻日日・EJJv〕
倥	〔亻穴工・EPFo〕
倦	〔亻丷夫{顺折同乙}・EUGV〕
倨	〔亻尸古・EBDg〕
倩	〔亻龶月・EHWv〕
倪	〔亻臼儿・ERQr〕
倬	〔亻卜早・EMJo〕
倭	〔亻禾女・ERCv〕
倮	〔亻日木・EJFv〕
债	〔亻龶贝・EHKb〕
值	〔亻十且・EDMi〕
倾	〔亻匕{丆同石}贝・ERDK〕
偃	〔亻匚日女・EGJC〕
假	〔亻尸二又・EBSB〕
偈	〔亻日{⼓同月}{逆折同乚}・EJWX〕
偌	〔亻艹{右上}口・ESSL〕
偎	〔亻田{畏下同匚}・EJGf〕
偏	〔亻户冊・EINc〕
偕	〔亻匕匕白・ERRE〕
做	〔亻古夂・EDEh〕
停	〔亻亠口丁・EOLA〕
健	〔亻彐キ廴・EXAX〕
偬	〔亻{⼓同月}{两撇同彡}心・EWTY〕
偶	〔亻禺・EKy〕
偷	〔亻人一刂・ETFM〕
偻	〔亻米女・EPCv〕
偾	〔亻十卄贝・EDSK〕
偿	〔亻{尚头同尚}二厶・ENSV〕
傀	〔亻鬼・EWu〕
傅	〔亻甫寸・EFAc〕
傈	〔亻覀木・EDFv〕
傍	〔亻亠丷方・EOUO〕
傣	〔亻𡗗水・EGKh〕
傥	〔亻尚儿・ENQr〕
傧	〔亻宀亻八・EOET〕
储	〔亻讠耂日・EOHJ〕
傩	〔亻又隹・EBWi〕
催	〔亻山隹・EJWi〕
傲	〔亻龶{⼓同月}夂・EHWE〕
傺	〔亻{祭上同月}示・EWHs〕
傻	〔亻{囟框同向}乂夂・ERWE〕
像	〔亻冖口豕・EYLD〕
僖	〔亻士口口・EHLL〕
僚	〔亻大丷小・EGUM〕
僦	〔亻亠口尤・EOLD〕
僧	〔亻丷日日・EUJJ〕
僬	〔亻隹灬・EWUh〕
僭	〔亻匚儿日・EGQJ〕
僮	〔亻立甲二・EIKS〕
僳	〔亻覀米・EDPm〕
僵	〔亻三田田・EFJJ〕
僻	〔亻尸口辛・EBLO〕
儆	〔亻艹{⼓同月}夂・ESWE〕
儇	〔亻罒一𧘇・EMFR〕
儋	〔亻冖厂言・EYSU〕
儒	〔亻雨而・EDSr〕
儡	〔亻田田田・EJJJ〕
儿	〔儿・Qrƒ〕
兀	〔兀・Hwƒ〕
允	〔厶儿・VQr〕
元	〔一兀・FHwi〕
兄	〔口儿・LQr〕
充	〔亠厶儿・OVQr〕
兆	〔儿二二・QSSe〕
先	〔⺧儿・WQrn〕
光	〔小兀・MHwa〕
克	〔古儿・DQrg〕
免	〔冖口儿・YLQr〕
兑	〔丷口儿・ULQr〕
兔	〔冖口儿丶・YLQO〕
兕	〔{雋下同冂}兀・KHwg〕
兖	〔亠八厶儿・OTVQ〕
党	〔尚儿・NQrs〕
兜	〔白{卬左同卯}{コ同又}儿・ETBQ〕
兢	〔古儿古儿・DQDQ〕
入	〔入・Ruƒ〕
全	〔人王・TGve〕
八	〔八・Tbƒ〕
公	〔八厶・TVvb〕
六	〔亠八・OTb〕
兮	〔八丂・TSkb〕
兰	〔䒑二・USeh〕
共	〔龷八・STbo〕
关	〔䒑大・UGdh〕
兴	〔{三點同氵}一八・IFTb〕
兵	〔亻工八・EFTb〕
其	〔其・Dqƒ〕
具	〔且八・MTbi〕
典	〔冂龷八・KSTb〕
兹	〔䒑幺幺・UVVo〕
养	〔䒑夫{介下同八}・UGTb〕
兼	〔䒑彐〢八・UXNT〕
兽	〔丷田一口・UJFL〕
冀	〔丬匕田八・URJT〕
冁	〔丷日十{畏下同匚}・UJDG〕
冂	〔冂・Kgƒ〕
内	〔冂人・KTeg〕
冈	〔冂乂・KWag〕
冉	〔冂土・KHvg〕
册	〔{⺆同月}{⺆同月}一・WWFi〕
再	〔王冂・GKg〕
冒	〔冂二目・KSMu〕
冕	〔冂二冖儿・KSYQ〕
冖	〔冖・Yvƒ〕
冗	〔冖几・YQj〕
写	〔冖丂一・YSFi〕
军	〔冖车・YHc〕
农	〔冖𧘇・YRy〕
冠	〔冖一兀寸・YFHA〕
冢	〔冖豕丶・YDOd〕
冤	〔冖冖口丶・YYLO〕
冥	〔冖日亠八・YJOT〕
冫	〔二・Seƒƒ〕
冬	〔夂{两点同二}・ESeh〕
冯	〔二马・SXme〕
冰	〔二水・SKhe〕
冱	〔二二{互中同母}・SSBm〕
冲	〔二口丨・SLNs〕
决	〔二{コ同又}人・SBTe〕
况	〔二口儿・SLQr〕
冶	〔二厶口・SVLv〕
冷	〔二人丶{マ同又}・STOB〕
冻	〔二七小・SAMa〕
冼	〔二⺧儿・SWQr〕
冽	〔二歹刂・SDMd〕
净	〔二冖彐{顺折同乙}・SYXV〕
凄	〔二十彐女・SDXC〕
准	〔二隹・SWie〕
凇	〔二木八厶・SFTV〕
凉	〔二亠口小・SOLM〕
凋	〔二{⺆同月}土口・SWHL〕
凌	〔二土八夂・SHTE〕
减	〔二戊一口・SDFL〕
凑	〔二𡗗一大・SGFG〕
凛	〔二亠囗示・SONH〕
凝	〔二匕矢龰・SRQN〕
几	〔几・Qjƒ〕
凡	〔凡・Qnƒ〕
凤	〔几又・QBuj〕
凫	〔{鸟上同鸟}几・YQja〕
凭	〔亻壬几・EEQj〕
凯	〔山己几・JBQj〕
凰	〔几白王・QEGv〕
凳	〔{登上同又}一口几・BFLQ〕
凵	〔凵・Xaƒ〕
凶	〔乂凵・WXaa〕
凸	〔丨一丨一・NFNF〕
凹	〔{雋下同冂}一・KFig〕
出	〔{屮同凵}凵・XXaa〕
击	〔キ凵・AXa〕
凼	〔水凵・KXah〕
函	〔{顺折同乙}水凵・VKXa〕
凿	〔〢䒑䒑凵・NUUX〕
刀	〔刀・Bdƒ〕
刁	〔{顺折同乙}一・VFii〕
刂	〔刂・Mdƒ〕
刃	〔刀丶・BOdd〕
分	〔八刀・TBdb〕
切	〔七刀・ABdi〕
刈	〔乂刂・WMda〕
刊	〔干刂・HMdg〕
刍	〔冖彐・YXv〕
刎	〔{⼓同月}{两撇同彡}刂・WTMd〕
刑	〔一卄刂・FSMd〕
划	〔戈刂・GMdg〕
刖	〔月刂・WMd〕
列	〔歹刂・DMdd〕
刘	〔文刂・PMdw〕
则	〔贝刂・KMdb〕
刚	〔冂乂刂・KWMd〕
创	〔人{顺折同乙}刂・TVMd〕
初	〔衤刀・PBdy〕
删	〔{⺆同月}{⺆同月}一刂・WWFM〕
判	〔丷キ刂・UAMd〕
刨	〔{⼓同月}巳刂・WCMd〕
利	〔禾刂・RMdh〕
别	〔口力刂・LXMd〕
刭	〔{ス同又}工刂・BFMd〕
刮	〔舌刂・RMde〕
到	〔至刂・HMdk〕
刳	〔大一丂刂・GFSM〕
制	〔牛冂刂・WKMd〕
刷	〔尸巾刂・BMMd〕
券	〔丷夫刀・UGBd〕
刹	〔乂朩刂・WFMd〕
刺	〔木冂刂・FKMd〕
刻	〔亥刂・OMdi〕
刽	〔人二厶刂・TSVM〕
刿	〔山夕刂・JRMd〕
剀	〔山己刂・JBMd〕
剁	〔几木刂・QFMd〕
剂	〔文{介下同八}刂・PTMd〕
剃	〔丷弓丨刂・UVNM〕
削	〔小月刂・MWMd〕
剌	〔木口刂・FLMd〕
前	〔䒑月刂・UWMd〕
剐	〔口冂人刂・LKTM〕
剑	〔人二{三點同氵}刂・TSIM〕
剔	〔日{⼓同月}{两撇同彡}刂・JWTM〕
剖	〔立口刂・ILMd〕
剜	〔宀夕{顺折同乙}刂・ORVM〕
剞	〔大丁口刂・GALM〕
剡	〔火火刂・UUMd〕
剥	〔彐水刂・XKMd〕
剧	〔尸古刂・BDMd〕
剩	〔禾丬匕刂・RURM〕
剪	〔䒑月刂刀・UWMB〕
副	〔一口田刂・FLJM〕
割	〔宀丰口刂・ODLM〕
剽	〔覀示刂・DHMd〕
剿	〔巛日木刂・VJFM〕
劁	〔隹灬刂・WUMd〕
劂	〔厂䒑{屮同凵}刂・SUXM〕
劈	〔尸口辛刀・BLOB〕
劐	〔艹隹又刂・SWBM〕
劓	〔自田丌刂・TJAM〕
力	〔力・Xlƒ〕
劝	〔又力・BXlu〕
办	〔力八・XTbl〕
功	〔工力・FXlo〕
加	〔力口・XLvl〕
务	〔夂力・EXlh〕
劢	〔一{⼓同月}力・FWXl〕
劣	〔小丿力・MQXl〕
动	〔二厶力・SVXl〕
助	〔且力・MXli〕
努	〔女又力・CBXl〕
劫	〔土厶力・HVXl〕
劬	〔{⼓同月}口力・WLXl〕
劭	〔刀口力・BLXl〕
励	〔厂一{⼓同月}力・SFWX〕
劲	〔{ス同又}工力・BFXl〕
劳	〔艹冖力・SYXl〕
劾	〔亥力・OXli〕
势	〔扌九丶力・AYOX〕
勃	〔十冖子力・DYVX〕
勇	〔{マ同又}用力・BTXl〕
勉	〔冖口儿力・YLQX〕
勋	〔口贝力・LKXl〕
勐	〔子皿力・VMXl〕
勒	〔革力・GXle〕
勖	〔冂二目力・KSMX〕
勘	〔其{逆折同乚}力・DXXl〕
募	〔艹日大力・SJGX〕
勤	〔革二力・GSXl〕
勰	〔力力力心・XXXY〕
勹	〔{⼓同月}・Wvƒƒ〕
勺	〔{⼓同月}丶・WOd〕
勾	〔{⼓同月}厶・WVv〕
勿	〔{⼓同月}{两撇同彡}・WTi〕
匀	〔{⼓同月}二・WSe〕
包	〔{⼓同月}巳・WCk〕
匆	〔{⼓同月}{两撇同彡}丶・WTOd〕
匈	〔{⼓同月}乂凵・WWXa〕
匍	〔{⼓同月}甫・WFu〕
匏	〔大一丂巳・GFSC〕
匐	〔{⼓同月}一口田・WFLJ〕
匕	〔匕・Riƒ〕
化	〔亻匕・ERi〕
北	〔丬匕・URih〕
匙	〔日一龰匕・JFNR〕
匚	〔匚・Gfƒ〕
匝	〔匚巾・GMvf〕
匠	〔匚斤・GEjf〕
匡	〔匚王・GGvf〕
匣	〔匚甲・GKjf〕
匦	〔匚车九・GHYj〕
匪	〔匚非・GLif〕
匮	〔匚口丄贝・GLKK〕
匹	〔兀{逆折同乚}・HXiw〕
区	〔匚乂・GWaf〕
医	〔匚矢・GQif〕
匾	〔匚户冊・GINc〕
匿	〔匚艹{右上}口・GSSL〕
十	〔十・Dhƒ〕
千	〔千・Wqƒ〕
卅	〔卅・Soƒƒ〕
升	〔丿卄・QSop〕
午	〔{丿一同竹}十・QDh〕
卉	〔十卄・DSoh〕
半	〔丷キ・UAvh〕
华	〔亻匕十・ERDh〕
协	〔十力八・DXTb〕
卑	〔{卑上同鬼}十・WDhu〕
卒	〔亠人人十・OTTD〕
卓	〔卜早・MJoo〕
单	〔丷日十・UJDh〕
卖	〔十{顺折同乙}{两点同二}大・DVSG〕
南	〔十冂䒑十・DKUD〕
博	〔十甫寸・DFAc〕
卜	〔卜・Moƒ〕
卞	〔亠卜・OMo〕
卟	〔口卜・LMo〕
占	〔卜口・MLvo〕
卡	〔上卜・KMos〕
卢	〔卜尸・MBvo〕
卣	〔卜囗{コ同又}・MNBu〕
卤	〔卜囗乂・MNWa〕
卦	〔土土卜・HHMo〕
卧	〔臣卜・SMoc〕
卩	〔卩・Xjƒ〕
卫	〔卩一・XFij〕
卮	〔{𠂆同斤}一{顺折同乙}・EFVi〕
卯	〔卯・Taƒ〕
印	〔{卬左同卯}一卩・TFXj〕
危	〔冖厂{顺折同乙}・YSVi〕
即	〔彐厶卩・XVXj〕
却	〔土厶卩・HVXj〕
卵	〔卯丶丶・TOOd〕
卷	〔丷夫{顺折同乙}・UGVi〕
卸	〔{丿一同竹}一止卩・QFNX〕
卺	〔{顺折同乙}水一{顺折同乙}・VKFV〕
卿	〔{卯左同卯}彐厶卩・TXVX〕
厂	〔厂・Shƒ〕
厄	〔厂{顺折同乙}・SVih〕
厅	〔厂丁・SAnh〕
历	〔厂力・SXlh〕
厉	〔厂一{⼓同月}・SFWv〕
压	〔厂土丶・SHOd〕
厌	〔厂犬・SSqh〕
厍	〔厂车・SHch〕
厕	〔厂贝刂・SKMd〕
厘	〔厂甲二・SKSe〕
厚	〔厂日子・SJVk〕
厝	〔厂龷日・SSJv〕
原	〔厂白小・SEMa〕
厢	〔厂木目・SFMu〕
厣	〔厂犬甲・SSKj〕
厥	〔厂䒑{屮同凵}欠・SUXE〕
厦	〔厂{丆同石}目夂・SDME〕
厨	〔厂一口寸・SFLA〕
厩	〔厂彐厶儿・SXVQ〕
厮	〔厂其斤・SDEj〕
厶	〔厶・Vvƒ〕
去	〔土厶・HVv〕
县	〔且厶・MVvi〕
叁	〔厶大三・VGFa〕
参	〔厶大彡・VGTi〕
又	〔又・Buƒ〕
叉	〔又丶・BOdu〕
及	〔乃丶・VOda〕
友	〔{右上}又・SBu〕
双	〔又又・BBuu〕
反	〔{𠂆同斤}又・EBuj〕
发	〔{逆折同乚}夂丶・XEOd〕
叔	〔上小又・KMBu〕
取	〔耳又・ABur〕
受	〔爪冖又・EYBu〕
变	〔亦又・PBui〕
叙	〔人一朩又・TFFB〕
叛	〔丷キ{𠂆同斤}又・UAEB〕
叟	〔臼丨又・RNBu〕
叠	〔又又又且・BBBM〕
口	〔口・Lvƒ〕
古	〔古・Dgƒ〕
句	〔{⼓同月}口・WLv〕
另	〔口力・LXl〕
叨	〔口刀・LBd〕
叩	〔口卩・LXj〕
只	〔口八・LTb〕
叫	〔口{丩同凵}・LXa〕
召	〔刀口・BLvd〕
叭	〔口八・LTb〕
叮	〔口丁・LAn〕
可	〔丁口・ALvn〕
台	〔厶口・VLv〕
叱	〔口匕・LRi〕
史	〔口乂・LWa〕
右	〔{右上}口・SLv〕
叵	〔匚口・GLvf〕
叶	〔口十・LDh〕
号	〔口丂・LSk〕
司	〔{顺折同乙}一口・VFLv〕
叹	〔口又・LBu〕
叻	〔口力・LXl〕
叼	〔口{顺折同乙}一・LVFi〕
叽	〔口几・LQj〕
吁	〔口一{于下}・LFAu〕
吃	〔口{丿一同竹}乙・LQVi〕
各	〔夂口・ELvh〕
吆	〔口幺・LVo〕
合	〔合・Yeƒ〕
吉	〔士口・HLvh〕
吊	〔口巾・LMv〕
同	〔冂一口・KFLv〕
名	〔夕口・RLvk〕
后	〔{𠂆同斤}一口・EFLv〕
吏	〔一口乂・FLWa〕
吐	〔口土・LHv〕
向	〔向・Rnƒ〕
吒	〔口丿七・LQAi〕
吓	〔口下・LAk〕
吕	〔口口・LLv〕
吖	〔口丷丨・LUNs〕
吗	〔口马・LXm〕
君	〔彐丿口・XQLv〕
吝	〔文口・PLvw〕
吞	〔一大口・FGLv〕
吟	〔口人丶{顺折同乙}・LTOV〕
吠	〔口犬・LSq〕
吡	〔口匕匕・LRRi〕
吣	〔口心・LYn〕
否	〔不口・DLvu〕
吧	〔口巴・LCb〕
吨	〔口七凵・LAXa〕
吩	〔口八刀・LTBd〕
含	〔人丶{顺折同乙}口・TOVL〕
听	〔口斤・LEj〕
吭	〔口亠几・LOQj〕
吮	〔口厶儿・LVQr〕
启	〔户口・ILvh〕
吱	〔口十又・LDBu〕
吲	〔口弓丨・LVNs〕
吴	〔口一大・LFGd〕
吵	〔口小丿・LMQp〕
吸	〔口乃丶・LVOd〕
吹	〔口欠・LEi〕
吻	〔口{⼓同月}{两撇同彡}・LWTi〕
吼	〔口子{逆折同乚}・LVXi〕
吾	〔一{五下同韋}口・FCLv〕
呀	〔口牙・LHy〕
呃	〔口厂{顺折同乙}・LSVi〕
呆	〔口木・LFv〕
呈	〔口王・LGv〕
告	〔⺧口・WLvn〕
呋	〔口夫・LGu〕
呐	〔口冂人・LKTe〕
呒	〔口一尢・LFDo〕
呓	〔口艹乙・LSVi〕
呔	〔口大丶・LGOd〕
呕	〔口匚乂・LGWa〕
呖	〔口厂力・LSXl〕
呗	〔口贝・LKb〕
员	〔口贝・LKb〕
呙	〔口冂人・LKTe〕
呛	〔口人{顺折同乙}・LTVi〕
呜	〔口乌・LEw〕
呢	〔口尸匕・LBRi〕
呤	〔口人丶{マ同又}・LTOB〕
呦	〔口幺力・LVXl〕
周	〔{⺆同月}土口・WHLv〕
呱	〔口瓜・LQu〕
呲	〔口止匕・LNRi〕
味	〔口未・LHe〕
呵	〔口丁口・LALv〕
呶	〔口女又・LCBu〕
呷	〔口甲・LKj〕
呸	〔口不一・LDFi〕
呻	〔口申・LKe〕
呼	〔口丿丷{于下}・LQUA〕
命	〔合卩・YXje〕
咀	〔口且・LMi〕
咂	〔口匚巾・LGMv〕
咄	〔口{屮同凵}凵・LXXa〕
咆	〔口{⼓同月}巳・LWCk〕
咋	〔口{丿一同竹}{乍下同卜}・LQMo〕
和	〔禾口・RLvh〕
咎	〔夂卜口・EMLv〕
咏	〔口丶水・LOKh〕
咐	〔口亻寸・LEAc〕
咒	〔口口几・LLQj〕
咔	〔口上卜・LKMo〕
咕	〔口古・LDg〕
咖	〔口力口・LXLv〕
咙	〔口尤丿・LDQp〕
咚	〔口夂{两点同二}・LESe〕
咛	〔口宀丁・LOAn〕
咝	〔口纟{纟上同纟}・LVVs〕
咣	〔口小兀・LMHw〕
咤	〔口宀丿七・LOQA〕
咦	〔口大弓・LGVg〕
咧	〔口歹刂・LDMd〕
咨	〔二欠口・SELv〕
咩	〔口羊・LUg〕
咪	〔口米・LPm〕
咫	〔尸㇏口八・BOLT〕
咬	〔口亠八乂・LOTW〕
咭	〔口士口・LHLv〕
咯	〔口夂口・LELv〕
咱	〔口自・LTk〕
咳	〔口亥・LOi〕
咴	〔口{右上}火・LSUv〕
咸	〔戊一口・DFLv〕
咻	〔口亻木・LEFv〕
咽	〔口囗大・LNGd〕
