char,division,code,region
理,王甲二,GKSr,GB2312
直,十且,DMqh,GB2312
重,丿車一,QGFi,GB2312
王,王,Gv,GB2312
像,亻冖口豕,EYLD,GB2312
脸,月人二氵,WTSI,GB2312
比,匕匕,RRii,GB2312
快,心乙大,YVGd,GB2312
何,亻丁口,EALv,GB2312
水,水,Kh,GB2312
名,夕口,RLvk,GB2312
体,亻木一,EFFi,GB2312
呢,口尸匕,LBRi,GB2312
东,七小,AMai,GB2312
叫,口屮,LXc,GB2312
西,西,Di,GB2312
应,广氵一,UIFi,GB2312
便,亻一日乂,EFJW,GB2312
放,方夂,OEhg,GB2312
马,马,Xa,GB2312
难,又隹,BWiu,GB2312
轻,车又工,HBFo,GB2312
更,一日乂,FJWa,GB2312
美,丷土大,UHGd,GB2312
位,亻立,EIi,GB2312
关,丷大,UGda,GB2312
机,木几,FQj,GB2312
接,扌立女,AICv,GB2312
先,牛儿,WQrn,GB2312
文,文,Pe,GB2312
处,夂卜,EMoh,GB2312
并,丷艹,USva,GB2312
望,亡月王,UWGv,GB2312
常,尚巾,NMjs,GB2312
完,宀一兀,OFHw,GB2312
四,囗儿,NQrw,GB2312
飞,乙二,VSri,GB2312
师,丨丿一巾,MQFM,GB2312
者,土日,HJv,GB2312
安,宀女,OCv,GB2312
清,氵龶月,IHWv,GB2312
刚,冂乂刂,KWMd,GB2312
跟,足艮,NVn,GB2312
月,月,Wv,GB2312
信,亻言,EUv,GB2312
山,山,Ja,GB2312
爱,爪冖𠂇又,EYSB,GB2312
内,冂人,KTeg,GB2312
龙,尤丿,DQpo,GB2312
空,穴工,PFou,GB2312
带,艹冖巾,SYMj,GB2312
找,扌戈,AGg,GB2312
原,厂白小,SEMa,GB2312
入,入,Ru,GB2312
李,木子,FBi,GB2312
连,车辶,HPoc,GB2312
吃,口竹乙,LQVi,GB2312
场,土乙彡,HVTi,GB2312
平,干丷,HUag,GB2312
思,田心,JYvi,GB2312
林,木木,FFv,GB2312
变,亦又,PBui,GB2312
使,亻一口乂,EFLW,GB2312
由,由,Ko,GB2312
受,爪冖又,EYBu,GB2312
亲,立木,IFvi,GB2312
命,合卩,YXje,GB2312
目,目,Mv,GB2312
强,弓口虫,VLKv,GB2312
男,田力,JXli,GB2312
任,亻壬,EEn,GB2312
该,讠亥,OOia,GB2312
路,足夂口,NELv,GB2312
车,车,Hc,GB2312
今,人丶乙,TOVi,GB2312
海,氵竹母,IQBm,GB2312
加,力口,XLvl,GB2312
远,一兀辶,FHPo,GB2312
活,氵舌,IRe,GB2312
特,牛土寸,WHAc,GB2312
解,冖用刀牛,YTBW,GB2312
电,电,Kd,GB2312
世,世,Hi,GB2312
性,心生,YWg,GB2312
表,龶𧘇,HWyn,GB2312
许,讠竹十,OQDh,GB2312
它,宀匕,ORi,GB2312
立,立,Ii,GB2312
黑,黑,Ne,GB2312
金,金,Rv,GB2312
红,纟工,VFos,GB2312
花,艹亻匕,SERi,GB2312
转,车二乚丶,HSXO,GB2312
总,丷口心,ULYv,GB2312
算,竹目艹,QMSv,GB2312
城,土戊乙,HDVi,GB2312
队,阝人,CTef,GB2312
孩,子亥,BOii,GB2312
反,斤又,EBui,GB2312
工,工,Fo,GB2312
始,女厶口,CVLv,GB2312
满,氵艹一人,ISFT,GB2312
新,立木斤,IFEi,GB2312
兵,亻工八,EFTb,GB2312
物,牛月彡,WWTi,GB2312
离,文屮冂厶,PXKV,GB2312
非,非,Li,GB2312
虽,口虫,LKv,GB2312
云,二厶,SVvr,GB2312
似,亻乚丶人,EXOT,GB2312
万,石乙,DVi,GB2312
至,至,Hk,GB2312
干,干,Hg,GB2312
通,又用辶,BTPo,GB2312
认,讠人,OTea,GB2312
失,丿夫,QGup,GB2312
火,火,Uo,GB2312
哥,丁口丁口,ALAL,GB2312
士,士,Hh,GB2312
五,一韋,FCii,GB2312
惊,心亠口小,YOLM,GB2312
魔,麻鬼,PWua,GB2312
竟,立日儿,IJQr,GB2312
姐,女且,CMq,GB2312
乎,丿丷{于下},QUAu,GB2312
剑,人二氵刂,TSIM,GB2312
往,彳丶王,ROGv,GB2312
量,日一甲二,JFKS,GB2312
早,早,Jo,GB2312
结,纟士口,VHLv,GB2312
怕,心白,YEb,GB2312
流,氵亠厶儿,IOVQ,GB2312
突,穴犬,PSau,GB2312
坐,人人土,TTHv,GB2312
斯,其斤,DEiq,GB2312
音,立日,IJvi,GB2312
紧,〢又糸,NBBv,GB2312
指,扌匕日,ARJv,GB2312
拉,扌立,AIi,GB2312
杀,乂木,WFva,GB2312
半,丷扌,UAva,GB2312
记,讠己,OBja,GB2312
且,且,Mq,GB2312
利,禾刂,RMdh,GB2312
合,合,Ye,GB2312
倒,亻至刂,EHMd,GB2312
书,乙乙丨丶,VVMO,GB2312
度,广艹一又,USFB,GB2312
微,{微上}一几,RFQj,GB2312
步,止小,NMai,GB2312
教,土子夂,HBEh,GB2312
喜,士口丷口,HLUL,GB2312
越,走戈乚,DGXi,GB2312
影,日亠口彡,JOLT,GB2312
谁,讠隹,OWia,GB2312
冷,二人丶又,STOB,GB2312
深,氵冖八木,IYTF,GB2312
告,牛口,WLvn,GB2312
落,艹氵夂口,SIEL,GB2312
象,冖口豕,YLDs,GB2312
容,穴人口,PTLv,GB2312
怪,心又土,YBHv,GB2312
传,亻二乚丶,ESXO,GB2312
钱,钅一戈,TFGg,GB2312
提,扌日一龰,AJFN,GB2312
言,言,Uv,GB2312
随,阝𠂇月辶,CSWP,GB2312
每,竹母,QBm,GB2312
双,又又,BBuu,GB2312
服,月卩又,WXBu,GB2312
击,扌屮,AXc,GB2312
武,一戈止,FGNi,GB2312
哪,口刀二阝,LBSC,GB2312
数,米女夂,PCEh,GB2312
站,立卜口,IMLv,GB2312
奇,大丁口,GALv,GB2312
房,户方,OOgh,GB2312
管,竹宀尸又,QOBB,GB2312
灵,彐火,XUo,GB2312
刻,亥刂,OMdi,GB2312
题,日一龰贝,JFNK,GB2312
衣,亠𧘇,OWyo,GB2312
周,月土口,WHLv,GB2312
静,龶月冖乙,HWYV,GB2312
伤,亻竹力,EQXl,GB2312
百,石日,DJv,GB2312
拿,合手,YTue,GB2312
妈,女马,CXa,GB2312
办,力八,XTbl,GB2312
星,日生,JWg,GB2312
化,亻匕,ERi,GB2312
功,工力,FXlo,GB2312
绝,纟冖巴,VYCa,GB2312
系,丿糸,QBvp,GB2312
般,舟殳,QQho,GB2312
必,心丿,YQp,GB2312
业,〢丷,NUas,GB2312
尔,冖小,YMam,GB2312
件,亻牛,EWn,GB2312
血,丿皿,QMnp,GB2312
代,亻弋,EGy,GB2312
精,米龶月,PHWv,GB2312
弟,丷弓丨丿,UVMQ,GB2312
终,纟夂二,VESr,GB2312
近,斤辶,EPoi,GB2312
条,夂木,EFvh,GB2312
青,龶月,HWvn,GB2312
界,田人八,JTTb,GB2312
司,乙一口,VFLv,GB2312
整,木口夂止,FLEN,GB2312
欢,又欠,BEqu,GB2312
字,宀子,OBi,GB2312
晚,日冖口儿,JYLQ,GB2312
民,巳七,XAis,GB2312
帮,丰阝巾,DCMj,GB2312
切,七刀,ABai,GB2312
即,彐厶卩,XVXj,GB2312
忙,心亡,YUw,GB2312
交,亠八乂,OTWa,GB2312
或,戈口一,GLFi,GB2312
暗,日立日,JIJv,GB2312
夫,夫,Gu,GB2312
员,口贝,LKb,GB2312
根,木艮,FVn,GB2312
石,石,Dv,GB2312
哈,口合,LYe,GB2312
夜,亠亻夂丶,OEEO,GB2312
父,八乂,TWab,GB2312
制,牛冂刂,WKMd,GB2312
友,𠂇又,SBuu,GB2312
阿,阝丁口,CALv,GB2312
息,自心,TYvk,GB2312
冲,二口丨,SLMs,GB2312
酒,氵酉,IGo,GB2312
保,亻口木,ELFv,GB2312
片,片,Tp,GB2312
形,一艹彡,FSTi,GB2312
阵,阝车,CHcf,GB2312
南,十冂丷十,DKUD,GB2312
决,二乙大,SVGd,GB2312
请,讠龶月,OHWv,GB2312
各,夂口,ELvh,GB2312
报,扌卩又,AXBu,GB2312
兴,氵一八,IFTb,GB2312
阳,阝日,CJvf,GB2312
急,冖彐心,YXYv,GB2312
语,讠一韋口,OFCL,GB2312
令,人丶又,TOBu,GB2312
错,钅艹日,TSJv,GB2312
及,乃丶,VOda,GB2312
刘,文刂,PMde,GB2312
极,木乃丶,FVOd,GB2312
识,讠口八,OLTb,GB2312
备,夂田,EJih,GB2312
慢,心日罒又,YJMB,GB2312
雪,雨彐,DXvy,GB2312
苦,艹古,SDg,GB2312
若,艹𠂇口,SSLv,GB2312
领,人丶又贝,TOBK,GB2312
收,屮夂,XEhc,GB2312
底,广卯七丶,UTAO,GB2312
尽,尸丶二,BOSr,GB2312
准,二隹,SWir,GB2312
华,亻匕十,ERDh,GB2312
答,竹合,QYe,GB2312
众,人人人,TTTe,GB2312
千,千,Wq,GB2312
消,氵小月,IMWv,GB2312
视,礻见,UKxs,GB2312
罗,罒夕,MRkw,GB2312
敢,乙耳夂,VAEh,GB2312
留,卯田,TJia,GB2312
克,古儿,DQrg,GB2312
乐,卯小,TMaa,GB2312
够,月口夕夕,WLRR,GB2312
跑,足月巳,NWXs,GB2312
显,日〢丷,JNUa,GB2312
嘴,口止匕用,LNRT,GB2312
官,宀尸又,OBBu,GB2312
断,米乚斤,PXEi,GB2312
未,未,He,GB2312
势,扌九丶力,AYOX,GB2312
句,月口,WLv,GB2312
求,一水丶,FKOd,GB2312
计,讠十,ODha,GB2312
论,讠人匕,OTRi,GB2312
达,大辶,GPod,GB2312
则,贝刂,KMdb,GB2312
害,宀丰口,ODLv,GB2312
八,八,Tb,GB2312
单,丷日十,UJDh,GB2312
久,冖丶,YOdm,GB2312
脚,月土厶卩,WHVX,GB2312
德,彳十罒心,RDMY,GB2312
元,一兀,FHwi,GB2312
脑,月文屮,WPXc,GB2312
楚,木木乙龰,FFVN,GB2312
雨,雨,Dy,GB2312
睛,目龶月,MHWv,GB2312
响,口向,LRg,GB2312
刀,刀,Ba,GB2312
确,石冖用,DYTn,GB2312
玉,王丶,GOd,GB2312
沉,氵冖几,IYQj,GB2312
北,丬匕,URiq,GB2312
格,木夂口,FELv,GB2312
停,亻高丁,EPAn,GB2312
陈,阝七小,CAMa,GB2312
市,亠巾,OMjo,GB2312
朝,十早月,DJWv,GB2312
喝,口日月乚,LJWX,GB2312
族,方竹矢,OQQi,GB2312
江,氵工,IFo,GB2312
团,囗{于下}丿,NAQp,GB2312
母,母,Bm,GB2312
章,立早,IJoi,GB2312
装,丬士亠𧘇,UHOW,GB2312
亮,高几,PQjg,GB2312
客,宀夂口,OELv,GB2312
照,日刀口灬,JBLU,GB2312
乱,舌乚,RXie,GB2312
易,日月彡,JWTi,GB2312
足,足,Nv,GB2312
依,亻亠𧘇,EOWy,GB2312
黄,艹由八,SKTb,GB2312
修,亻丨夂彡,EMET,GB2312
破,石皮,DVp,GB2312
台,厶口,VLv,GB2312
球,王一水丶,GFKO,GB2312
呀,口牙,LHy,GB2312
院,阝宀一兀,COFH,GB2312
送,丷大辶,UGPo,GB2312
包,月巳,WXs,GB2312
义,丶乂,OWad,GB2312
诉,讠斤丶,OEOd,GB2312
攻,工夂,FEho,GB2312
丝,纟纟,VVss,GB2312
围,囗扌乙,NAVi,GB2312
玩,王一兀,GFHw,GB2312
待,彳土寸,RHAc,GB2312
复,竹日夂,QJEh,GB2312
况,二口儿,SLQr,GB2312
楼,木米女,FPCv,GB2312
丽,一冂二冂,FKSK,GB2312
痛,疒又用,PBTn,GB2312
梦,木木夕,FFRk,GB2312
呼,口丿丷{于下},LQUA,GB2312
摇,扌爪缶,AEWo,GB2312
期,其月,DWvq,GB2312
英,艹冂大,SKGd,GB2312
低,亻卯七丶,ETAO,GB2312
帝,亠丷冖巾,OUYM,GB2312
兄,口儿,LQr,GB2312
背,丬匕月,URWv,GB2312
持,扌土寸,AHAc,GB2312
爷,八乂卩,TWXj,GB2312
皇,白王,EGvb,GB2312
七,七,Ai,GB2312
六,亠八,OTbo,GB2312
穿,穴牙,PHyu,GB2312
杨,木乙彡,FVTi,GB2312
政,一止夂,FNEh,GB2312
运,二厶辶,SVPo,GB2312
居,尸古,BDgh,GB2312
叶,口十,LDh,GB2312
热,扌九丶灬,AYOU,GB2312
校,木亠八乂,FOTW,GB2312
谢,讠身寸,OWAc,GB2312
曾,丷日丷日,UJUJ,GB2312
古,古,Dg,GB2312
细,纟田,VJis,GB2312
产,立丿,IQpi,GB2312
睡,目壬艹,MESv,GB2312
希,乂𠂇巾,WSMj,GB2312
速,木口辶,FLPo,GB2312
室,宀至,OHk,GB2312
旁,亠丷冖方,OUYO,GB2312
另,口力,LXl,GB2312
怀,心不,YDu,GB2312
露,雨足夂口,DNEL,GB2312
异,巳艹,XSvs,GB2312
写,冖丂一,YSFi,GB2312
鬼,鬼,Wu,GB2312
娘,女丶艮,COVn,GB2312
取,耳又,ABur,GB2312
式,弋工,GFoy,GB2312
除,阝人一木,CTFF,GB2312
级,纟乃丶,VVOd,GB2312
考,土丂,HSo,GB2312
建,彐扌廴,XAXn,GB2312
愿,厂白小心,SEMY,GB2312
招,扌刀口,ABLv,GB2312
饭,饣斤又,REBu,GB2312
布,𠂇巾,SMju,GB2312
续,纟十乙大,VDVG,GB2312
程,禾口王,RLGv,GB2312
首,丷自,UTka,GB2312
观,又见,BKxu,GB2312
朋,月月,WWv,GB2312
务,夂力,EXlh,GB2312
掉,扌卜早,AMJo,GB2312
赶,走干,DHgk,GB2312
忽,月彡心,WTYv,GB2312
注,氵丶王,IOGv,GB2312
术,木丶,FOd,GB2312
甚,其乚,DXiq,GB2312
差,羊工,UFog,GB2312
呵,口丁口,LALv,GB2312
展,尸艹匚,BSGf,GB2312
争,冖彐乙,YXVi,GB2312
品,口口口,LLLv,GB2312
兰,丷二,USra,GB2312
宝,宀王丶,OGOd,GB2312
香,禾日,RJvh,GB2312
斗,二十,SDhr,GB2312
故,古夂,DEhg,GB2312
雷,雨田,DJiy,GB2312
念,人丶乙心,TOVY,GB2312
段,亻三殳,EFQh,GB2312
顿,七屮石贝,AXDK,GB2312
角,冖用,YTnm,GB2312
疑,匕矢又龰,RQBN,GB2312
护,扌户,AOh,GB2312
闪,门人,PTen,GB2312
木,木,Fv,GB2312
需,雨而,DSey,GB2312
调,讠月土口,OWHL,GB2312
类,米大,PGdm,GB2312
妹,女未,CHe,GB2312
爸,八乂巴,TWCa,GB2312
线,纟一戈,VFGg,GB2312
左,𠂇工,SFou,GB2312
游,氵方竹子,IOQB,GB2312
派,氵斤𧘇,IEWy,GB2312
谈,讠火火,OUUo,GB2312
激,氵白方夂,IEOE,GB2312
冰,二水,SKhr,GB2312
敌,舌夂,REhe,GB2312
跳,足儿二二,NQSS,GB2312
支,十又,DBuh,GB2312
约,纟月丶,VWOd,GB2312
巴,巴,Ca,GB2312
您,亻冖小心,EYMY,GB2312
顾,厂乙石贝,SVDK,GB2312
肯,止月,NWvi,GB2312
醒,酉日生,GJWg,GB2312
铁,钅丿夫,TQGu,GB2312
抱,扌月巳,AWXs,GB2312
淡,氵火火,IUUo,GB2312
造,牛口辶,WLPo,GB2312
伙,亻火,EUo,GB2312
资,二欠贝,SEKb,GB2312
群,彐丿口羊,XQLU,GB2312
集,隹木,WFvi,GB2312
联,耳丷大,AUGd,GB2312
商,亠丷冂口,OUKL,GB2312
号,口丂,LSo,GB2312
节,艹卩,SXj,GB2312
讲,讠二八,OSTb,GB2312
掌,尚手,NTus,GB2312
赵,走乂,DWak,GB2312
密,宀心丿山,OYQJ,GB2312
九,九,Yj,GB2312
病,疒一冂人,PFKT,GB2312
卫,卩一,XFij,GB2312
米,米,Pm,GB2312
威,戊一女,DFCv,GB2312
继,纟米乚,VPXi,GB2312
渐,氵车斤,IHEi,GB2312
统,纟亠厶儿,VOVQ,GB2312
追,𠂤辶,YPoi,GB2312
亚,丌丷,AUaj,GB2312
简,竹门日,QPJv,GB2312
练,纟七乙八,VAVT,GB2312
基,其土,DHvq,GB2312
选,牛儿辶,WQPo,GB2312
推,扌隹,AWi,GB2312
改,己夂,BEhj,GB2312
退,艮辶,VPon,GB2312
味,口未,LHe,GB2312
份,亻八刀,ETBa,GB2312
举,氵一八扌,IFTA,GB2312
示,示,Hs,GB2312
忍,刀丶心,BOYv,GB2312
历,厂力,SXlh,GB2312
器,㗊犬,LSaj,GB2312
恐,工凡心,FQYv,GB2312
引,弓丨,VMso,GB2312
试,讠弋工,OGFo,GB2312
皮,皮,Vp,GB2312
习,羽,Xuv,GB2312
靠,牛口非,WLLi,GB2312
导,巳寸,XAcs,GB2312
存,𠂇丨子,SMBi,GB2312
莫,艹日大,SJGd,GB2312
志,士心,HYvh,GB2312
区,匚乂,GWaf,GB2312
汉,氵又,IBu,GB2312
右,𠂇口,SLvu,GB2312
严,丌丷丿,AUQp,GB2312
态,大丶心,GOYv,GB2312
买,乙二大,VSGd,GB2312
幸,土丷十,HUDh,GB2312
社,礻土,UHvs,GB2312
佛,亻弓八,EVTb,GB2312
议,讠丶乂,OOWa,GB2312
树,木又寸,FBAc,GB2312
止,止,Ni,GB2312
块,土乙大,HVGd,GB2312
守,宀寸,OAc,GB2312
毛,毛,Rm,GB2312
挥,扌冖车,AYHc,GB2312
胡,古月,DWvg,GB2312
散,艹月夂,SWEh,GB2312
板,木斤又,FEBu,GB2312
仅,亻又,EBu,GB2312
隐,阝冖彐心,CYXY,GB2312
怒,女又心,CBYv,GB2312
床,广木,UFvu,GB2312
苏,艹力八,SXTb,GB2312
料,米二十,PSDh,GB2312
股,月殳,WQh,GB2312
局,尸乙口,BVLv,GB2312
班,王丷王,GUGv,GB2312
图,囗夂二,NESr,GB2312
岁,山夕,JRka,GB2312
礼,礻乚,UXis,GB2312
独,犭虫,RKvn,GB2312
初,衤刀,PBak,GB2312
福,礻一口田,UFLJ,GB2312
顺,川石贝,WDKb,GB2312
狂,犭王,RGvn,GB2312
默,黑犬,NSae,GB2312
巨,匚又,GBuf,GB2312
既,彐厶匚儿,XVGQ,GB2312
松,木八厶,FTVv,GB2312
证,讠一止,OFNi,GB2312
烈,歹刂灬,DMUi,GB2312
否,不口,DLvu,GB2312
恶,丌丷心,AUYv,GB2312
治,氵厶口,IVLv,GB2312
缓,纟爪二夂,VESE,GB2312
排,扌非,ALi,GB2312
费,弓八贝,VTKb,GB2312
拍,扌白,AEb,GB2312
耳,耳,Ar,GB2312
医,匚矢,GQif,GB2312
寒,宀艹八二,OSTS,GB2312
哭,口口犬,LLSa,GB2312
温,氵日皿,IJMn,GB2312
府,广亻寸,UEAc,GB2312
担,扌日一,AJFi,GB2312
称,禾冖小,RYMa,GB2312
余,人一木,TFFv,GB2312
钟,钅口丨,TLMs,GB2312
泪,氵目,IMv,GB2312
烟,火囗大,UNGd,GB2312
仍,亻乃,EVa,GB2312
具,且八,MTbq,GB2312
忘,亡心,UYvw,GB2312
恩,囗大心,NGYv,GB2312
毕,匕匕十,RRDh,GB2312
警,艹月口言,SWLU,GB2312
蓝,艹〢竹皿,SNQM,GB2312
宫,宀口口,OLLv,GB2312
吸,口乃丶,LVOd,GB2312
陆,阝扌屮,CAXc,GB2312
究,穴九,PYju,GB2312
抓,扌爪,AEk,GB2312
压,厂土丶,SHOd,GB2312
沙,氵小丿,IMQp,GB2312
救,一水丶夂,FKOE,GB2312
呆,口木,LFv,GB2312
河,氵丁口,IALv,GB2312
迷,米辶,PPom,GB2312
枪,木人乙,FTVi,GB2312
组,纟且,VMqs,GB2312
权,木又,FBu,GB2312
叹,口又,LBu,GB2312
孙,子小,BMai,GB2312
卷,丷夫乙,UGVi,GB2312
查,木日一,FJFi,GB2312
毫,高毛,PRmg,GB2312
春,𡗗日,GJvn,GB2312
察,宀月示,OWHs,GB2312
圣,又土,BHvu,GB2312
草,艹早,SJo,GB2312
较,车亠八乂,HOTW,GB2312
胜,月生,WWg,GB2312
遇,禺辶,KPoy,GB2312
充,亠厶儿,OVQr,GB2312
史,口乂,LWa,GB2312
堂,尚土,NHvs,GB2312
防,阝方,COgf,GB2312
据,扌尸古,ABDg,GB2312
猛,犭子皿,RBMn,GB2312
骑,马大丁口,XGAL,GB2312
土,土,Hv,GB2312
卡,上卜,KMos,GB2312
助,且力,MXlq,GB2312
京,亠口小,OLMa,GB2312
银,钅艮,TVn,GB2312
贵,口上贝,LKKb,GB2312
永,丶水,OKhd,GB2312
质,斤十贝,EDKb,GB2312
屋,尸至,BHkh,GB2312
须,彡石贝,TDKb,GB2312
副,一口田刂,FLJM,GB2312
换,扌冖冂大,AYKG,GB2312
刺,木冂刂,FKMd,GB2312
属,尸丿虫冂,BQKK,GB2312
闻,门耳,PArn,GB2312
境,土立日儿,HIJQ,GB2312
禁,木木示,FFHs,GB2312
阴,阝月,CWvf,GB2312
共,艹八,STb,GB2312
负,冖贝,YKbm,GB2312
弄,王艹,GSv,GB2312
翻,丿米田羽,QPJX,GB2312
虎,虎,Mh,GB2312
层,尸二厶,BSVv,GB2312
喊,口戊一口,LDFL,GB2312
逃,儿二二辶,QSSP,GB2312
晓,日七丿兀,JAQH,GB2312
座,广人人土,UTTH,GB2312
雅,牙隹,HWiy,GB2312
参,厶大彡,VGTi,GB2312
射,身寸,WAce,GB2312
婚,女卯七日,CTAJ,GB2312
险,阝人二氵,CTSI,GB2312
君,彐丿口,XQLv,GB2312
划,戈刂,GMdg,GB2312
坚,〢又土,NBHv,GB2312
价,亻人八,ETTb,GB2312
柔,矛木,XFvo,GB2312
超,走刀口,DBLv,GB2312
扬,扌乙彡,AVTi,GB2312
科,禾二十,RSDh,GB2312
按,扌宀女,AOCv,GB2312
狠,犭艮,RVnn,GB2312
野,甲二予,KSCu,GB2312
秦,𡗗禾,GRhn,GB2312
秘,禾心丿,RYQp,GB2312
熟,亠口子灬,OLBU,GB2312
置,罒十且,MDMq,GB2312
仙,亻山,EJa,GB2312
模,木艹日大,FSJG,GB2312
伸,亻申,EKe,GB2312
波,氵皮,IVp,GB2312
肉,冂人人,KTTe,GB2312
假,亻尸二又,EBSB,GB2312
齐,文八,PTbe,GB2312
